803313AF	cluster0
59D24EC7	cluster1
75E60CCD	cluster1
5B05A407	cluster2
7806D484	cluster3
0746725E	cluster4
75126FCF	cluster5
787736BD	cluster6
76E7306A	cluster6
03CB461D	cluster6
7D1EAA2A	cluster6
7C6879D1	cluster6
7701FF23	cluster6
7D7B85CB	cluster6
6D5A70A6	cluster6
815ED64D	cluster6
79A47DD0	cluster6
80658CDC	cluster6
7ECAA4BB	cluster6
814D7316	cluster6
81454E07	cluster6
7886F629	cluster6
584257C1	cluster6
7D5367E9	cluster6
5BB80400	cluster6
7DE21181	cluster6
5EE9A878	cluster6
5DA48DB9	cluster6
78759298	cluster6
7F855A5C	cluster6
77BE837C	cluster6
81B8EA82	cluster6
7F7831E6	cluster6
7E70D849	cluster6
7A64D4C8	cluster6
81EEA028	cluster6
8016762E	cluster6
760903C6	cluster6
78FC8887	cluster6
781161CA	cluster6
7B81ABC9	cluster6
77502F11	cluster6
77FE7E0B	cluster6
75D07CDC	cluster6
7AF4F065	cluster6
776F6562	cluster6
75AD7035	cluster6
7B1D11BC	cluster6
7B7DE83E	cluster6
7C647B80	cluster6
7ED4C0B0	cluster6
58BE5B3C	cluster6
75DC78B6	cluster6
5C420916	cluster6
7A96220A	cluster6
7FF6DDDA	cluster6
7D2D795C	cluster6
7705C07A	cluster6
7734538D	cluster6
589D9B25	cluster6
7CC959F9	cluster6
75096365	cluster6
0599CA63	cluster6
0241336F	cluster6
813A7B69	cluster6
7B4592CE	cluster6
78C7D9B5	cluster6
01F39902	cluster6
75E657BB	cluster6
7C17648E	cluster6
7C20541E	cluster6
80EC5986	cluster6
8205925C	cluster6
5AB417B3	cluster6
78872958	cluster6
7EBDF51F	cluster6
7F47DB57	cluster6
796B6ADD	cluster6
7AAD5125	cluster7
755AF5B4	cluster7
8020EAAE	cluster7
7E4DC560	cluster7
7D49501C	cluster7
5BEE7C25	cluster7
75DCCF39	cluster7
7FA9930A	cluster7
5B9880DD	cluster7
59446EEA	cluster7
7D88A028	cluster7
7AC43257	cluster7
7A12BC42	cluster7
7D92D32F	cluster7
47BC8350	cluster7
81634673	cluster7
